epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,167.887,1.02264,0.52515,1.07275,0.97038,1,0.99444,0.71763,1.05667,0.40498,1.01462,0.00120008,0.00120008,0.00120008
103,169.538,1.02798,0.50913,1.05721,0.97042,1,0.99444,0.69881,1.07708,0.41446,1.00635,0.00119216,0.00119216,0.00119216
104,171.17,1.0153,0.51457,1.04977,0.97095,1,0.995,0.7098,1.08644,0.43153,1.01347,0.00118424,0.00118424,0.00118424
105,172.795,0.95141,0.48525,1.05045,0.97048,1,0.99361,0.70599,1.11807,0.42412,1.02985,0.00117632,0.00117632,0.00117632
106,174.43,1.03562,0.55301,1.11122,0.97044,1,0.97833,0.72807,1.06773,0.4047,0.99811,0.0011684,0.0011684,0.0011684
107,176.109,1.04074,0.51277,1.08928,0.97045,1,0.97139,0.69973,1.13348,0.41283,1.01076,0.00116048,0.00116048,0.00116048
108,177.737,1.05956,0.5263,1.08319,0.9704,1,0.99111,0.68085,1.18762,0.44595,1.05162,0.00115256,0.00115256,0.00115256
109,179.355,1.0921,0.56323,1.11909,0.96238,1,0.99361,0.69878,1.13672,0.51257,1.02886,0.00114464,0.00114464,0.00114464
110,180.975,1.11989,0.57764,1.12379,0.96378,1,0.995,0.72619,1.08249,0.53707,1.01715,0.00113672,0.00113672,0.00113672
111,182.605,0.9962,0.50902,1.06142,0.97028,1,0.98722,0.70149,1.09822,0.43392,1.03042,0.0011288,0.0011288,0.0011288
112,184.228,1.03376,0.50339,1.13162,0.97043,1,0.98556,0.70299,1.122,0.45042,1.03428,0.00112088,0.00112088,0.00112088
113,185.858,1.03782,0.51487,1.10273,0.97048,1,0.97917,0.69651,1.10877,0.43775,1.03191,0.00111296,0.00111296,0.00111296
114,187.484,1.04301,0.54585,1.09137,0.97043,1,0.96972,0.69103,1.11643,0.43112,1.01792,0.00110504,0.00110504,0.00110504
115,189.119,1.01968,0.52996,1.07013,0.97033,1,0.96889,0.6734,1.14118,0.44868,1.03207,0.00109712,0.00109712,0.00109712
116,190.742,1.01844,0.52999,1.0804,0.96991,1,0.96736,0.66714,1.17635,0.46659,1.04135,0.0010892,0.0010892,0.0010892
117,192.359,0.9891,0.51336,1.06506,0.96972,1,0.96889,0.67818,1.11536,0.48558,1.03786,0.00108128,0.00108128,0.00108128
118,193.974,1.02213,0.50944,1.07066,0.9703,1,0.98389,0.68721,1.11944,0.48756,1.04448,0.00107336,0.00107336,0.00107336
119,195.589,1.03249,0.50193,1.11345,0.97038,1,0.98167,0.67919,1.13505,0.45975,1.05765,0.00106544,0.00106544,0.00106544
120,197.207,0.99189,0.5294,1.09116,0.9704,1,0.9825,0.68982,1.07744,0.46358,1.02144,0.00105752,0.00105752,0.00105752
121,198.832,1.06544,0.52875,1.12129,0.97041,1,0.97778,0.7083,1.05005,0.42609,1.00212,0.0010496,0.0010496,0.0010496
122,200.444,1.05546,0.50639,1.07624,0.9704,1,0.99111,0.7214,1.07386,0.42146,1.00373,0.00104168,0.00104168,0.00104168
123,202.065,1.04671,0.52006,1.08042,0.97048,1,0.99111,0.70462,1.12073,0.42143,1.01604,0.00103376,0.00103376,0.00103376
124,203.702,0.99372,0.50871,1.07053,0.97043,1,0.98389,0.6881,1.1248,0.4152,1.01907,0.00102584,0.00102584,0.00102584
125,205.322,1.01963,0.50075,1.0693,0.97038,1,0.97139,0.68378,1.16531,0.41245,1.03644,0.00101792,0.00101792,0.00101792
126,206.947,0.95511,0.4954,1.07801,0.97031,1,0.96889,0.68966,1.11752,0.41639,1.02177,0.00101,0.00101,0.00101
